tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"Michael Carricks interview after the Chelsea game, ""i thought we were unlucky not to get the 3 points today"" 3 Points, i am sure you have to start shooting to score goals to win games !!!",1.0,334,1,35,79.45,40.06,63.35,94.7,35,20,80,54.29,40,11.43,11.43,5.71,2.86,2.86,0,0,0,5.71,5.71,5.71,14.29,8.57,0,2.86,2.86,17.14,5.71,0,8.57,2.86,5.71,0,14.29,0,5.71,2.86,0,0,0,0,2.86,0,5.71,5.71,0,0,0,0,0,0,0,0,8.57,2.86,0,0,0,0,2.86,5.71,0,0,0,0,0,0,0,0,8.57,5.71,0,2.86,0,0,0,0,0,0,0,0,0,0,0,5.71,0,2.86,0,0,0,5.71,0,0,11.43,0,0,0,0,0,0,0,8.57,2.86,5.71,5.71,0,0,0,0,0,20,0,5.71,0,8.57,0,5.71,0
"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment.",1.0,335,1,41,48.44,80.24,1,89.58,20.5,17.07,87.8,65.85,48.78,7.32,7.32,0,0,2.44,2.44,2.44,0,7.32,4.88,0,14.63,14.63,9.76,2.44,2.44,17.07,12.2,0,2.44,0,2.44,0,12.2,2.44,9.76,2.44,2.44,4.88,0,0,2.44,0,9.76,7.32,2.44,2.44,0,2.44,0,0,0,0,14.63,4.88,2.44,0,0,0,0,9.76,0,0,0,4.88,2.44,0,2.44,0,2.44,0,0,0,2.44,0,9.76,4.88,2.44,0,0,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,2.44,7.32,0,0,2.44,2.44,0,2.44,2.44,0,0,4.88,4.88,4.88,0,0,0,9.76,2.44,4.88,2.44,0,0,0,0
"Here’s the situation, DO WHATEVER MAKES YOUR HEART HAPPY!!! 

You’re going to die one day dang it. 

At least do all the things you wanted to before you leave!!",0.0,336,1,29,28.28,99,2.1,74.09,9.67,6.9,100,86.21,65.52,24.14,13.79,0,0,13.79,0,0,10.34,20.69,6.9,3.45,13.79,13.79,3.45,3.45,0,31.03,6.9,13.79,0,0,0,0,27.59,3.45,10.34,0,3.45,3.45,0,0,0,0,6.9,3.45,0,3.45,3.45,0,0,0,0,3.45,13.79,0,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,3.45,0,3.45,0,0,0,0,0,0,0,3.45,3.45,0,3.45,0,0,0,0,6.9,3.45,10.34,6.9,0,0,0,0,0,31.03,3.45,3.45,0,17.24,6.9,0,0
I’m still confused about DaBaby’s point? Like would you have said “everybody without cancer out your lighters up”??? like what sir https://t.co/EqcbAEkIJM,1.0,337,1,22,32.02,99,20.79,1,7.33,22.73,81.82,68.18,63.64,22.73,13.64,4.55,0,9.09,0,0,9.09,4.55,0,0,27.27,13.64,13.64,0,0,18.18,0,0,4.55,0,0,4.55,27.27,4.55,13.64,0,0,4.55,4.55,0,4.55,0,4.55,0,4.55,4.55,0,4.55,0,0,0,0,22.73,9.09,0,4.55,0,0,4.55,18.18,0,0,0,4.55,4.55,0,0,4.55,0,0,0,0,0,0,4.55,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,9.09,0,0,9.09,0,0,0,0,4.55,4.55,0,0,0,0,0,0,36.36,0,0,18.18,0,9.09,9.09,0
Life at the moment is fantastic. I am really enjoying the increase in restrictions due to the omincron variant and can't wait to go shopping whilst wearing a facemask.,1.0,338,1,29,89.52,3.55,95.69,74.09,14.5,31.03,89.66,68.97,51.72,3.45,3.45,3.45,0,0,0,0,0,13.79,13.79,0,13.79,10.34,3.45,6.9,3.45,20.69,3.45,3.45,3.45,0,0,3.45,24.14,0,6.9,0,0,3.45,0,3.45,3.45,0,10.34,6.9,3.45,6.9,6.9,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,6.9,0,3.45,6.9,0,0,0,13.79,0,10.34,0,0,0,0,0,0,10.34,6.9,0,0,0,3.45,0,0
"Well, at least the covid situation seems to be improving in time for christmas...",1.0,339,1,14,99,,97.09,99,14,21.43,100,64.29,57.14,0,0,0,0,0,0,0,0,14.29,7.14,0,28.57,7.14,7.14,0,0,14.29,7.14,7.14,7.14,0,7.14,0,28.57,0,14.29,7.14,0,0,7.14,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,7.14,0,0,0,14.29,0,7.14,0,0,0,0,0,0,28.57,21.43,7.14,0,0,0,0,0
getting stopped by tesco security is the highlight of my day,1.0,340,1,11,97.37,5.27,95.15,,11,36.36,81.82,63.64,45.45,9.09,9.09,9.09,0,0,0,0,0,18.18,9.09,0,18.18,9.09,0,0,0,18.18,0,9.09,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#PostAnUnpopularFoodOpinion salad cream on toast mmmmmmmm",0.0,341,1,6,99,,,,6,33.33,66.67,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,16.67,0,0,0,0,0,16.67,0
Why did my wife decide we needed a new kitchen !2Days to strip the tiles and plywood off ! https://t.co/Z2Jy5JsgDK,0.0,342,1,19,80.4,90.88,8.42,92.27,19,10.53,84.21,63.16,47.37,10.53,10.53,5.26,5.26,0,0,0,0,15.79,10.53,10.53,10.53,5.26,5.26,5.26,0,15.79,5.26,0,10.53,10.53,0,0,26.32,0,15.79,5.26,5.26,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,10.53,5.26,0,5.26,0,5.26,0,0,5.26,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.53,0,0,0,0,0,0,0,10.53,0,0,0,10.53,0,0,0
"It’s spring, so that means it’s time for couples to leave the bar across the street and come fight under my window at 2 am again ❤️",1.0,343,1,26,53.56,20.31,99,1,26,3.85,92.31,73.08,57.69,15.38,3.85,3.85,0,0,0,0,11.54,15.38,7.69,3.85,19.23,11.54,7.69,7.69,0,23.08,0,3.85,0,0,0,0,23.08,0,3.85,3.85,0,0,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,0,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,19.23,0,7.69,15.38,0,0,0,7.69,0,15.38,0,0,0,0,0,0,11.54,0,3.85,0,0,7.69,0,3.85
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,1.0,344,1,18,79.79,13.82,99,1,9,16.67,100,77.78,55.56,11.11,11.11,11.11,0,0,0,0,0,5.56,5.56,0,22.22,5.56,0,16.67,0,16.67,11.11,0,11.11,5.56,5.56,0,22.22,0,11.11,5.56,5.56,0,0,0,0,0,16.67,5.56,11.11,16.67,5.56,11.11,0,0,0,0,5.56,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,5.56,0,5.56,0,0,0,11.11,11.11,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,16.67,16.67,0,5.56,5.56,0,0,5.56,5.56,11.11,5.56,0,0,0,0,0,0,33.33,22.22,0,0,0,11.11,0,11.11
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,1.0,345,1,24,1.39,1,97.72,20.23,24,12.5,95.83,83.33,62.5,25,16.67,16.67,0,0,0,0,8.33,12.5,4.17,0,8.33,12.5,8.33,8.33,4.17,29.17,0,0,0,0,0,0,25,0,16.67,4.17,4.17,8.33,0,0,0,0,8.33,4.17,4.17,4.17,0,4.17,0,4.17,0,0,4.17,4.17,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,16.67,0,8.33,4.17,0,0,0,4.17,4.17,4.17,4.17,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0,0
"@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️",1.0,346,1,17,98.34,73.71,46.57,,8.5,41.18,70.59,58.82,41.18,5.88,5.88,0,0,0,5.88,0,0,17.65,5.88,5.88,17.65,5.88,0,0,0,17.65,11.76,5.88,5.88,0,5.88,0,17.65,0,11.76,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,0,5.88,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,17.65,0,0,11.76,0,0,5.88,0,0,11.76,0,0,0,0,0,0,29.41,5.88,0,0,0,0,23.53,11.76
Government- “all over 40’s must have booster jab by end of January!” NHS website *rubs hands together in glee* “oh yes? I think not…!” 🙄,1.0,347,1,24,94.18,1.71,68.87,83,6,20.83,87.5,50,33.33,4.17,4.17,4.17,0,0,0,0,0,4.17,0,4.17,16.67,4.17,0,0,4.17,12.5,0,4.17,8.33,4.17,0,4.17,33.33,8.33,16.67,4.17,0,8.33,0,8.33,4.17,0,4.17,4.17,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,4.17,0,4.17,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,12.5,0,0,8.33,0,0,4.17,8.33,8.33,4.17,0,8.33,0,4.17,4.17,0,58.33,12.5,0,4.17,8.33,4.17,29.17,4.17
elrow at ushuaïa was bloody great,0.0,348,1,6,89.52,1,,20.23,6,16.67,66.67,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,16.67,33.33,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,33.33,16.67,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The rate at which I go between thinking: ‘it’s fine, I’ve still got 3 weeks to write my dissertation’ and ‘shit I’ve only got three weeks to write my dissertation’ is causing some serious procrastination whiplash.",0.0,349,1,36,26.1,1,99,64,36,22.22,97.22,80.56,50,19.44,13.89,13.89,0,0,0,0,5.56,13.89,2.78,5.56,11.11,11.11,5.56,2.78,0,27.78,8.33,13.89,2.78,0,2.78,0,33.33,0,8.33,2.78,2.78,0,0,0,2.78,0,5.56,2.78,0,0,0,0,0,0,0,2.78,5.56,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,5.56,5.56,5.56,0,2.78,5.56,0,0,0,8.33,5.56,5.56,0,0,0,0,0,0,27.78,2.78,2.78,0,0,13.89,8.33,0
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1.0,350,1,23,8.37,1,99,84.9,23,21.74,100,82.61,69.57,17.39,17.39,17.39,0,0,0,0,0,8.7,8.7,0,8.7,8.7,13.04,13.04,0,17.39,4.35,0,0,0,0,0,21.74,0,8.7,0,4.35,0,4.35,0,4.35,0,4.35,4.35,0,4.35,4.35,0,0,0,0,0,8.7,4.35,0,0,0,0,0,4.35,0,0,0,0,4.35,0,0,4.35,13.04,0,0,4.35,8.7,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,13.04,0,4.35,4.35,4.35,0,0,4.35,0,8.7,4.35,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0
Someone in Walmart asked my mom if I was a boy or a girl (in front of my FaCe) so that’s how I’ve been,0.0,351,1,24,2.87,6.61,99,,24,8.33,95.83,75,70.83,25,16.67,16.67,0,0,0,0,8.33,20.83,8.33,0,12.5,16.67,8.33,12.5,0,20.83,0,0,4.17,4.17,0,0,37.5,0,16.67,4.17,4.17,0,12.5,0,8.33,0,0,0,0,0,0,0,0,0,0,0,20.83,4.17,0,0,0,0,4.17,16.67,4.17,0,8.33,4.17,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,16.67,4.17,0,0,0,0,0,0,16.67,0,0,0,0,8.33,8.33,0
"@ishkolhatkar @RosieisaHolt We think you are very, very funny and very,very,very etc …brave. You nail the issue and put those that actually believe the comments you make to shame…. Please keep doing what you’re doing….",0.0,352,1,37,1.36,99,3.49,93.12,12.33,13.51,83.78,78.38,59.46,21.62,13.51,0,2.7,10.81,0,0,8.11,10.81,5.41,0,2.7,10.81,16.22,5.41,0,24.32,5.41,0,2.7,2.7,0,0,16.22,0,10.81,5.41,2.7,0,0,2.7,0,0,10.81,8.11,2.7,5.41,2.7,2.7,0,0,0,0,21.62,8.11,2.7,2.7,0,5.41,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,2.7,0,2.7,0,0,0,0,0,0,5.41,0,0,0,0,0,0,48.65,32.43,8.11,0,0,2.7,5.41,0
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",1.0,353,1,28,26.1,9.23,99,20.23,5.6,7.14,96.43,75,46.43,10.71,7.14,3.57,3.57,0,0,0,3.57,14.29,3.57,10.71,7.14,10.71,7.14,3.57,3.57,21.43,10.71,17.86,3.57,3.57,0,0,28.57,3.57,14.29,3.57,0,7.14,0,0,7.14,0,7.14,3.57,3.57,0,0,0,0,0,0,0,10.71,7.14,0,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,3.57,14.29,0,7.14,7.14,0,0,0,10.71,3.57,10.71,0,3.57,0,3.57,0,0,21.43,14.29,0,0,0,3.57,3.57,0
"Don't worry, even if you weren't born 60+ years ago, that doesn't mean you can't still be a Boomer.",0.0,354,1,19,1,1,99,1,19,0,94.74,84.21,68.42,15.79,10.53,0,0,10.53,0,0,5.26,10.53,5.26,5.26,0,26.32,15.79,5.26,21.05,36.84,0,5.26,0,0,0,0,52.63,0,26.32,5.26,0,5.26,5.26,0,15.79,0,5.26,0,5.26,5.26,0,5.26,5.26,0,0,0,10.53,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,15.79,15.79,21.05,0,0,0,0,0,0,42.11,5.26,10.53,0,0,21.05,5.26,0
Every time you complain about neopronouns or xenogenders we add five more,1.0,355,1,12,26.1,99,39.59,1,12,25,83.33,66.67,58.33,16.67,16.67,0,8.33,8.33,0,0,0,25,0,8.33,8.33,0,8.33,8.33,0,8.33,8.33,33.33,8.33,8.33,0,0,25,8.33,8.33,0,0,0,8.33,0,8.33,0,8.33,0,8.33,8.33,0,8.33,0,0,0,0,25,8.33,0,0,8.33,0,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,1.0,356,1,36,19.76,72.07,59.49,64,36,8.33,97.22,80.56,66.67,27.78,22.22,13.89,2.78,2.78,2.78,0,5.56,19.44,5.56,5.56,11.11,11.11,0,5.56,0,22.22,5.56,8.33,13.89,11.11,2.78,0,27.78,2.78,8.33,2.78,0,2.78,5.56,0,2.78,0,2.78,2.78,0,2.78,2.78,0,0,0,0,0,25,8.33,0,0,0,0,8.33,16.67,5.56,2.78,8.33,0,0,0,0,0,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,5.56,0,11.11,0,0,0,0,0,0,2.78,0,0,0,0,2.78,0,0
What happened to unbiased journalism @SkyNews?,1.0,357,1,6,89.52,,,,6,66.67,66.67,50,33.33,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,33.33,0,0,16.67,0,0,16.67,0
"Just watched Homewrecker @grimmfest Halloween event, loved it! 🎃 #homewreckermovie #grimmfest",0.0,358,1,10,39.7,,,99,5,60,40,30,20,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,20,0,0,0,0,0,0,0,50,0,10,0,10,0,30,10
Thanks Boris Johnson for restricting travel abroad (again) due to the new virus strain and your concern for the public health. I heard next week your banning fast food beacuse thats just as dangerous right?,1.0,359,1,35,65.15,85.08,63.35,20.23,17.5,17.14,82.86,57.14,34.29,11.43,8.57,2.86,0,5.71,0,0,2.86,14.29,5.71,0,8.57,2.86,5.71,5.71,0,11.43,11.43,2.86,2.86,0,0,2.86,17.14,0,0,0,0,0,0,0,0,0,11.43,5.71,5.71,0,0,0,0,0,0,0,14.29,8.57,8.57,2.86,0,0,2.86,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,5.71,2.86,0,0,0,0,5.71,0,0,0,0,0,0,0,0,2.86,0,5.71,5.71,0,2.86,0,0,2.86,0,14.29,2.86,2.86,0,0,0,0,0,0,11.43,2.86,0,2.86,0,0,5.71,0
"I keep getting dramatic, anime style cowlicks in the morning and I'm thinking one day I'll just go out without brushing it down to let everyone know I'm the main protagonist.",0.0,360,1,31,51.31,1.48,99,70.91,31,29.03,87.1,80.65,51.61,19.35,12.9,12.9,0,0,0,0,6.45,9.68,6.45,3.23,16.13,9.68,6.45,3.23,0,29.03,6.45,6.45,0,0,0,0,29.03,3.23,9.68,6.45,0,0,0,0,3.23,0,3.23,3.23,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,3.23,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,16.13,12.9,0,3.23,12.9,0,0,0,6.45,0,6.45,3.23,0,0,0,0,0,16.13,3.23,3.23,0,0,9.68,0,0
I hate how anti vaxxers have ruined everything. Trying to find information on vaccine side effects and it's plagued with morons,0.0,361,1,21,29.12,4.61,84.92,1,10.5,28.57,90.48,57.14,47.62,14.29,4.76,4.76,0,0,0,0,9.52,0,0,0,14.29,14.29,4.76,4.76,0,19.05,0,0,0,0,0,0,42.86,4.76,14.29,14.29,9.52,0,0,0,0,0,14.29,0,14.29,4.76,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,4.76,0,0,4.76,0,0,0,0,4.76,4.76,0,0,0,0,0,0,9.52,4.76,0,0,0,4.76,0,0
As a woman I dont need hobbies dreams or goals cause I can spend all my time wondering why he didnt text back crying into a bag of doughnuts,1.0,362,1,29,28.28,1,67.94,20.23,29,10.34,89.66,65.52,51.72,13.79,13.79,10.34,0,0,3.45,0,0,13.79,6.9,0,10.34,10.34,3.45,6.9,6.9,24.14,0,3.45,3.45,0,3.45,0,34.48,3.45,24.14,3.45,6.9,6.9,6.9,0,6.9,0,6.9,3.45,3.45,3.45,0,3.45,0,0,3.45,0,13.79,6.9,0,0,0,0,6.9,6.9,0,0,3.45,3.45,0,0,0,0,6.9,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,3.45,0,3.45,10.34,6.9,0,0,6.9,0,0,0,3.45,3.45,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,1.0,363,1,14,89.52,9.23,99,1,14,7.14,100,85.71,50,7.14,7.14,7.14,0,0,0,0,0,14.29,14.29,7.14,14.29,14.29,7.14,0,0,28.57,14.29,7.14,0,0,0,0,35.71,0,7.14,7.14,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,14.29,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43
I watched the first two episodes of American Horror Stories and holy shit it was so bad,0.0,364,1,17,29.85,2.18,1.39,1,17,23.53,94.12,70.59,52.94,11.76,5.88,5.88,0,0,0,0,5.88,17.65,5.88,11.76,5.88,5.88,5.88,11.76,0,11.76,17.65,11.76,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,23.53,5.88,11.76,11.76,0,11.76,5.88,0,0,5.88,5.88,5.88,0,0,0,0,5.88,0,0,0,0,0,5.88,0,5.88,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,5.88,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Both of these jeans are size 10. the ones in front are @CalvinKlein  and the ones in the back are a less expensive brand. You see the issue here right?? #FatShaming #clothessizing #DoBetter #jeans #disappointed https://t.co/NWm4rZlOYg,0.0,365,1,36,92.86,72.07,22.12,2.17,9,16.67,72.22,55.56,47.22,5.56,2.78,0,0,2.78,0,0,2.78,22.22,13.89,5.56,8.33,8.33,2.78,2.78,0,11.11,5.56,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,2.78,0,2.78,2.78,0,2.78,0,0,2.78,0,2.78,0,0,0,0,0,0,2.78,0,0,0,0,2.78,0,0,2.78,2.78,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,16.67,0,0,13.89,2.78,0,0,0,0,8.33,0,0,0,0,0,0,27.78,5.56,0,5.56,0,0,16.67,0
"@markbishopuk @DrPragyaAgarwal They are legally entitled to ask for asylum.",0.0,366,1,10,89.52,89.5,,,10,40,50,50,40,10,10,0,0,0,0,10,0,0,0,0,20,10,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,10,0,0,0,0,20,0
Just had my windows cleaned and I feel posh lmao,0.0,367,1,10,1,1,99,99,10,20,90,80,60,30,30,30,0,0,0,0,0,10,0,0,0,10,10,10,0,30,0,0,0,0,0,0,30,0,10,10,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,20,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1.0,368,1,14,1,1,72.58,99,7,21.43,85.71,71.43,57.14,28.57,14.29,14.29,0,0,0,0,14.29,7.14,0,7.14,0,7.14,21.43,14.29,0,7.14,14.29,0,0,0,0,0,14.29,7.14,0,0,0,0,0,0,0,0,14.29,14.29,0,7.14,7.14,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
And the police clearly have nothing better to do,1.0,369,1,9,10.19,2.75,,99,9,22.22,100,88.89,77.78,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,22.22,11.11,11.11,11.11,22.22,11.11,0,22.22,0,11.11,11.11,22.22,11.11,11.11,0,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
