,tweets,class
63124,Ha!! Too funny. Lady tweets she needs weed and cops respond with their own tweet!! LMAO😂😝😂 #Sarcasm #Jokes #Police https://t.co/ldkNnvyWYU,sarcasm
63125,Can't think of a better way to celebrate getting to my first GrandSlam SF than spending the next 2 hours trying to pee in a cup. #sarcasm ;),sarcasm
63126,On #BBAD they just zoomed in on Austin's hand on Liz's shoulder as they talked game. I wonder why? #BB17 #Sarcasm,sarcasm
63127,"@AkshUndestroyed #sarcasm man!
I'm an adult, I know that!",sarcasm
63128,"Great,I'm back home #homesweethome #sarcastic",sarcasm
63129,Must've been a tight deadline for Fely Sicam. http://t.co/QxTLpSLPGD @cmfr Are op-ed columnists really journalists? #sarcasm,sarcasm
63130,It's my lucky day... I should buy a lottery. #sarcasm,sarcasm
63131,"Me: be ready at 7 im not waiting 
@bpatrone86 : fine princess
 😒 #sarcasm #typicalbrenda #bffprobs #byefelicia #ireallyamaprincess",sarcasm
63132,@AllforBollywood @SELENAOWNSMC SO DISNEY CHANNEL MUST BE LOSING MONEY CAUSE MOST OF GIRL MEETS WORLD WAS FILED IN B &amp; W! LOL #SARCASM,sarcasm
63133,You ever have one of those days where you need body #shots off a girl whose name ends in I and has #daddyissues? Me neither. #sarcasm,sarcasm
63134,Awww.. A couple wearing matching kid rock shirts.. #sarcasm,sarcasm
63135,Oh. Madeline. Yay. #sarcasm #GH,sarcasm
63136,@johnrabe that one made me laugh out loud #sarcasm,sarcasm
63137,Love those Final Fantasy-like cut scenes in Lego Jurassic World. #sarcasm,sarcasm
63138,you should tag this #sarcasm so ppl don't get confused !!!! https://t.co/v7mTxPhYB9,sarcasm
63139,"⭐️ for you, for always being a great friend and always being there when I need you most #sarcasm",sarcasm
63140,#timehop #sarcasm is a wonderful thing https://t.co/mbR88QCT8h,sarcasm
63141,This day just keeps getting better and better. #Sarcasm,sarcasm
63142,"Way to go @Athletics you've embarassed yourself tonight, good job #sarcasm #onto2016",sarcasm
63143,@teamlaurellance @mguggenheim The clubs  getting bigger&amp; bigger all the time.I can't believe Marvel has him writing their comics. #sarcasm,sarcasm
63144,"@Airtel_Presence I didn't understand what that reply meant, but hoping @airtelindia understood the #sarcasm in my previous tweet.",sarcasm
63145,Gees that Williame looks great should put him in first grade #sarcasm #GoManly,sarcasm
63146,"@crabby_kangaroo OMGAH KK, thank you so much for being SUCH the change the world needs! 
#sarcasm",sarcasm
63147,I might follow a bodybuilding diet from the 1980s just to show how nobody had a clue back then how to diet. #Sarcasm #LeeHaney #LeeLabrada,sarcasm
63148,Wow today has been wonderful #sarcasm,sarcasm
63149,#MLB walk into house and see #Yankees are putting on a great performance.  #Sarcasm,sarcasm
63150,I would have a hard time only making $6 million next year too. #PrayForJoshSmith #sarcasm http://t.co/Q9aAaF5EcY,sarcasm
63151,People should be so honored to talk to me. I'm over here spreading knowledge that no one wanted to know. #sarcasm #butalsonot #yourewelcome,sarcasm
63152,Just got home from work and have to leave in six hours for my next shift. Yippee. #sarcasm #imtired #goodnight,sarcasm
63153,@AmazonHelp so luck even today. It's my husbands birthday and i don't have a present for him. Thank you so much. #sarcasm #reallyUpset,sarcasm
63154,That's some serious #WhitePrivilege. #sarcasm #forthosewhodontgetit https://t.co/Y8Fy6Pbhqi,sarcasm
63155,Don't you just fucking love browsing Facebook on the iPad? Don't you.... #sarcasm,sarcasm
63156,"Thank you @nbc, moving #F1 #HungarianGP  to @CNBC from @NBCSN. I really need 10 hours of #NASCAR in lieu of #F1. #sarcasm #F1&gt;NASCAR",sarcasm
63157,So much fun going on first day #sarcasm,sarcasm
63158,@riturathaur @arvindkejriwal very soon he will make Lalu Prasad Yadav Lokayukt of Delhi and remove corruption #ParivartanRally   #Sarcasm,sarcasm
63159,Great goal line defence #sarcasm #WhatAreTheyDoingAtTraining,sarcasm
63160,Imagine my excitement seeing this ad on my timeline ... a dinner with #Hillary ... seriously? #sarcasm http://t.co/LHol5lyHzB,sarcasm
63161,@Suzy4everfan karma eats me... ughhh #sarcasm =)),sarcasm
63162,😷isn't it just great when literally all four members of your family are sick #sarcasm,sarcasm
63163,Good to see McLaren's improvement is continuing #sarcasm,sarcasm
63164,Out in these WeHa streets. #sarcasm @ Lyons' Service Corp. Inc. https://t.co/o5PHkefC1r,sarcasm
63165,"This should do good things for competition, customer service and innovation.  Another ""too big to fail""?  #sarcasm http://t.co/2igJw7M9Pe",sarcasm
63166,Invention of Light in refrigerator would have been done by someone who frequently got hungry at midnight #JustSaying #Sarcasm,sarcasm
63167,Because Saturday's are full of false alarms #housework #vintage #sarcasm http://t.co/ThioyVmEdO,sarcasm
63168,I'm thinking my humor should have me living in England. #sarcasm #cutslikeaknife https://t.co/sRZyNsvnpn,sarcasm
63169,@PelotonWatch Guess he must be doping eh? #sarcasm #homeofcycling #stickittothefrench,sarcasm
63170,how do i play hard to get when im already hard to want #Sarcasm,sarcasm
63171,Brilliant #sarcasm #drunkenPhilpurchase #teainfuser #ebay http://t.co/ffGrGioePZ,sarcasm
63172,"The #Turkey saga.
#sarcasm
https://t.co/nf7HzAboAp",sarcasm
63173,I've matured so much in 4 years. #sarcasm #growingup #love #oppikoppi https://t.co/MyhAv2D4P7,sarcasm
63174,#Sarcasm ~ Just one of the many services I offer.  #funny #truth http://t.co/u2PxFgERV9,sarcasm
63175,@bill_mynatt i couldn't imagine why #sarcasm,sarcasm
63176,not like Collum to get a penalty decision wrong #sarcasm,sarcasm
63177,"if you ever need nothing im here for you

Being #sarcastic",sarcasm
63178,Wow I can't wait for Deadpool and Suicide Squad films next year. Maybe people will finally cosplay as Deadpool and Harley Quinn. #sarcasm,sarcasm
63179,@FoxNews STABBED????? better start that legislation to BAN KNIVES!!!! #guncontrol #idiots won't understand the #sarcasm ... #tcot,sarcasm
63180,"3 overnights starting tonight, yay. #Sarcasm",sarcasm
63181,Lovely to see Leeds United mentioned on front pages for wrong reasons today #sarcasm,sarcasm
63182,"@CBCToronto really? He was vital signs absent? Well that makes perfect sense. 

#Sarcasm #YouGuysSuck #LearnProperGrammar",sarcasm
63183,@O2 Thank you for your great service this morning.  I didn't need the data that I pay for! #sarcasm #feelcheated http://t.co/ls332tdrYY,sarcasm
63184,"By cutting corners and stagnating the education system. Yeah, we're making progress alright. #Sarcasm #justsaying  https://t.co/wdavijwHYQ",sarcasm
63185,Gee. Maybe I could be as successful as my brother if I got drunk under the age of 21 and smoked weed. Yes. That's success. #Sarcasm,sarcasm
63186,"Mom: clean your bedroom, family is coming over
Me: okay..I dint know the gathering was taking place in my bedroom tho #sarcasm",sarcasm
63187,"How I talk: 
25% swearing 
25% #sarcasm 
50% a combination of both",sarcasm
63188,"Massa 3rd in the speed trap, but only 8th in Q1. nice job! #Sarcasm #HungarianGP",sarcasm
63189,And the Tigers jump out to a mssive 12 point lead #sarcasm #afltigersfreo,sarcasm
63190,Nothing like an 8AM DR visit the day after returning from vacation...for the second yr in a row. I'm so lucky! #sarcasm,sarcasm
63191,@SLStokie @APB1979 please just recognize #sarcasm in future,sarcasm
63192,"Found this cool photo, not mine Oh Siri 😒 #siri #firetruck #attitude #sassy #sarcasm http://t.co/FWcdSErjTW",sarcasm
63193,"I'm not breading today, but I get the joys of running Hennys (the fryers) today.

#YeahMe 
#RollsEyes 
#Sarcasm",sarcasm
63194,@vogueforluke I'm guessing we're suppose to respect every person who sexual harasses people.. #sarcasm,sarcasm
63195,Furore over classrooms ‘promoting radical sexual experimentation’ http://t.co/8C4dF1jvkj @safeschoolsvic @minus18youth Be Afraid! #sarcasm,sarcasm
63196,"My Tee from yesterday .Hahaha not sorry. 

#teeshirt  #sarcasm #vscocam https://t.co/LFJl6dWIEw",sarcasm
63197,"Just sayin. 
#humor #funny #sarcasm #scale #weightloss #weightgain #donthate #notchubby https://t.co/spCNl0flAH",sarcasm
63198,"@MissCleoBB Live feeds, 3 hrs ago. #sarcasm 😉 https://t.co/xhVYa4kKpB",sarcasm
63199,"Car gets written off, have to find a new place to live, and now Dragons lose 7 in a row... Life is just awesome... #Sarcasm",sarcasm
63200,"really glad i spent money, that i don't have, on coming home this weekend #sarcasm",sarcasm
63201,mmmmm social remorse is my faaaaavorite game. 😁😁😁😁😁 #sarcasm,sarcasm
63202,best thing about my neighbours alarm is how it sounds constantly and is entirely ineffectual at alerting us to potential crimes #sarcasm ;-),sarcasm
63203,Some people are shit!! 😂😂 #sarcasm http://t.co/0GCO1cXnSi,sarcasm
63204,"MehrTarar #Sarcasm During NSA meets, Sartaj Aziz to raise the issue of Salman Khan crossing border,beating Pak Cops #BollywoodPoisoningPak",sarcasm
63205,Excellent job listening to the million of @twitter users! We might finally get something that we have been asking for years! #Sarcasm,sarcasm
63206,Diet Rule : if nobody sees you eating.. It doesn't contain Calories #Diet #Calories #Sarcasm #justsaying,sarcasm
63207,When he is radio silence but still see your messages... 👌😒 #perfect #sarcasm #someoneshootmeplease https://t.co/ZvxaEVM6Xg,sarcasm
63208,I think I'm just going to get married in a courthouse... #Sarcasm #ThisIsSoMuchFun #JustALittleStressful,sarcasm
63209,Red rocks yoga sold out? Obviously the next logical alternative would be to wake up and hike a 14er. #sarcasm #colorado #waitreally,sarcasm
63210,"Yeah, cause he's certainly willing to give up all that money from merchandising and TV appearances. #sarcasm  https://t.co/AqBPXFh4ey",sarcasm
63211,"This that, this that..kelangan pa bang i-spell yan? Do i need to state the obvious??Halleer??! 😒😏
#favoritism  #feelingirritated #sarcastic",sarcasm
63212,"Something only a ""Goofy"" would say:

#dumb #sarcasm #goofy #humor http://t.co/rq2VpmQGwn",sarcasm
63213,@CameronMines I won't be buying this then. #falseadvertising #sarcasm,sarcasm
63214,I'm so excited to work a 10 hour day today outside #sarcasm,sarcasm
63215,@franxstrax Who needs a ground force after all? #sarcasm,sarcasm
63216,So I've been using this twitter frequently and with great results. Lets keep up the great work me. #Sarcasm (as if it weren't obvious),sarcasm
63217,So excited to go to work #sarcasm #terrifying http://t.co/a1v4lxyZ40,sarcasm
63218,".@cydamac and I are both fully wide awake at 5 am on a Saturday, which is how you KNOW it's gonna be a super-great day. #sarcasm #allthenaps",sarcasm
63219,Last night was a blast #sarcasm #highlife #photo http://t.co/IKHmDL4sTA,sarcasm
63220,"@AliFaroukAhmed But there isn't a PS4 on every seat and google fiber.
#sarcasm",sarcasm
63221,@jambounit48 @jambodeano @JamboCath @wsj2015 all this way to eat in the big M restaurant #FineDining #sarcasm http://t.co/q0vQbv2oMD,sarcasm
63222,I apply filters to please the internet. #sarcasm https://t.co/d2bd7ksg82,sarcasm
63223,I have a generous brother. Last wine of the afternoon is an absolute beauty. It may have cellaring potential #sarcasm http://t.co/m5pd13ju9F,sarcasm
63224,My parents care about my safety so much when they left me in the car!! 👧=🐶🚗 #Sarcasm #MYLIFE #REALLY #UKVIN... https://t.co/i6WS3Ev506,sarcasm
63225,"@O2 data seems to be working (slowly) in Worcestershire now, thanks for the communication on the outage! Top work #sarcasm",sarcasm
63226,Thanks to @Olacabs my mum and sister were left stranded at the Dommasandra bus stop..Great Service Guys! #sarcasm #bangalore #facepalm,sarcasm
63227,@BRlDETOBE What a nice way to make any of your followers who did have children with more than one person feel great. #Sarcasm,sarcasm
63228,So true 😂 #sarcasm #cantflirt 😂 http://t.co/bwa3fza9Zr,sarcasm
63229,Waking up with a headache is just how I wanted to start my day! #sarcasm,sarcasm
63230,Oh well they'll definitely do it now! #sarcasm https://t.co/RK7eTlyTVq,sarcasm
63231,@Ergoat no one cares if you actually have some idea WTF you're doing. #stepupstepback #sarcasm,sarcasm
63232,"@henrywinter Finally, you are resigned to your fate. Russia it is in 2018. I hope England qualifies #sarcasm",sarcasm
63233,"After mauling Lyion at the #EmiratesCup2015 
Arsenal fans be like.....""Bring on Real Madrid, Barcelona &amp; Bayern"" 
#Sarcasm",sarcasm
63234,"Figured out why white don't ""riot"" or protest when they get killed or do ""thug@ ish...bc they're suffering from mental illness 😒 #sarcasm",sarcasm
63235,"TV looks soooo amazing tonight, I am going to have real trouble deciding what to watch #sarcasm",sarcasm
63236,@rickygervais We can't ban bullfighting! Spain's tradition is more important than some stupid animal! Right??? #sarcasm #banbullfighting,sarcasm
63237,"""Censorship with a smile. The best kind."" #sarcasm #FSN15",sarcasm
63238,@JetBlue so happy the tv in my seat isn't working #sarcasm,sarcasm
63239,That is truly so thoughtful of you to say #sarcasm,sarcasm
63240,Thanks for the assist on the pong table last nit @kbartel24 @allisonkate16 #sarcasm,sarcasm
63241,@fedupmovie Really? Tomato paste is a vegetable? It's a fruit! #sarcasm #GovtOrganization,sarcasm
63242,B/c the real issue isn't abt life. #sarcasm http://t.co/frjS8lBjAh,sarcasm
63243,@WWE @BrockLesnar unseen angles NO WAY!! #sarcasm,sarcasm
63244,About to start work. Yay!(Yea right) #sarcasm #joke #gay #gaynerd #gayguy #gayboys #instaboy… https://t.co/WCsrufIpjk,sarcasm
63245,@ByDavidMurphy but they have scouts at the game. These may have never seen him play before. A lot riding on today. #Sarcasm,sarcasm
63246,@Craigarnold hope this is true then I'll be sorted one day #sarcasm  https://t.co/p0RmiHOcHC,sarcasm
63247,"Today my wife informed me that the rolls in needed at the supermarket were in the ""bakery"" section. #thanks #sarcasm #howdidievergetby",sarcasm
63248,"As usual, #Killary gets a pass Any1 else with her past wouldn't think of running 4 dog catcher #sarcasm {:oD  https://t.co/mQEvMPjDsg",sarcasm
63249,Oh no this LRT is going to run someone over! #sarcasm http://t.co/ZcwntO1Ikv,sarcasm
63250,@DWeeks41 @chicksonright nice tat! Like mine? #sarcasm #seattle #FightTheRightWithAllOurMight http://t.co/nYcbktejzZ,sarcasm
63251,"@Just_a_Texan Well, he liked Pinterest, Facebook &amp; the group Linkin Park. You know, it's all their fault he did it. #sarcasm",sarcasm
63252,"If you question anything about @mikerossi22 's 3:11 bogus marathon, he blocks you. Behavior of an innocent man. #hahaha #sarcasm",sarcasm
63253,@bfp1974 @haymakers @PatrickWeekes you obviously missed the point. #sarcasm,sarcasm
63254,"@boudecia7 That's bc Janice's kid ended up being his after all, so eh, as long as he gets to be a daddy, I guess #sarcasm #badwritingisbad",sarcasm
63255,"#GiroudOUT what a miss
#sarcasm",sarcasm
63256,@TransLink @christyclarkbc http://t.co/ZW5AxJI5ig. I'm sure glad you listened to the public and quit wasting our money #sarcasm #bcpoli,sarcasm
63257,The canals in Birmingham are disgusting #sarcasm #birmingham #itsnotshit https://t.co/3Yst9Xyyl2,sarcasm
63258,"@widya2905 ""awe they look so cute"" #sarcasm http://t.co/uqNn7C9kKP",sarcasm
63259,At least it's for a good cause. Right? #Sarcasm  https://t.co/Gn00Vd8wH2,sarcasm
63260,I think I have an ear infection. Saturday is perfect to discover that. #sarcasm,sarcasm
63261,My thoughts on the weekend. #sarcasm #fastfood (Vine by @xhazzx) https://t.co/O70T1WON4g,sarcasm
63262,So far my favorite thing about Cleveland is the drivers and their complete disregard for bicyclists and our safety. #sarcasm,sarcasm
63263,Can't wait for @moltkedairy &amp; @ForstnerM to gloat about the @BrianDozier bobbleheads they're getting tonight. #sarcasm someday I'll get one.,sarcasm
63264,@CaptDreadlocke Can you feel the warmth of GOP's sincerity in their marketing? No? Shocking! They've been so reliable and honest! #sarcasm,sarcasm
63265,Can this day go any faster. #sarcasm,sarcasm
63266,@JeanetteJing sounds terrifying... Absolutely terrifying #sarcasm,sarcasm
63267,Mom and I both lost 3 pounds in less than 24 hours. Yay stress! #sarcasm,sarcasm
63268,"If you don't instagram when you're at a concert, are you really at the concert?  #sarcasm #annoying",sarcasm
63269,Big shout out to @HyattConcierge for the beautiful view at our hotel for the #MUFC vs Barcelona FC match. #sarcasm http://t.co/0HL7YexZWF,sarcasm
63270,Won't somebody PLEASE think of the children! #sarcasm  https://t.co/q8qtECTzDs,sarcasm
63271,@foolsinthehalls @Sexyskeptic @junktex @jeffwcpa @Salon Atheism. Because babies are tasty. #Sarcasm #Humor,sarcasm
63272,Good job Pinot. Bring Ryder up to the front #sarcasm #TDF,sarcasm
63273,"They're not #terrorists, they're just expressing their #racist 1st Amt rights with 2nd Amt 
http://t.co/NBgOku56vH
#sarcasm",sarcasm
63274,This is so true and powerful due to the fact they used the emoji fist #sarcasm http://t.co/Skskiee893,sarcasm
63275,That happens to me a lot. And my friends laugh at me! As if it's my fault! #sarcasm https://t.co/9m2mpmLZf3,sarcasm
63276,Town Planning gem. #BBMP take note. #Yelahanka #sarcasm http://t.co/h13T2FY6FK,sarcasm
63277,Right cause it's the other Canadian MLB baseball team that you cheer for right??? #facetious #sarcasm #derphard  https://t.co/4pMR7gSoB5,sarcasm
63278,"A win like today really get me excited about the away trips to the likes of bury, Rochdale and burton #Blackpoolfc #sarcasm",sarcasm
63279,Fair Enough !!!!!!!!  #geek #sarcasm #smart #pretty #tshirtdesign #Colombia #geeked http://t.co/I62IWcCm7B,sarcasm
63280,@DarienLake GREAT ATTITUDE by girl working in Beaver Brothers Bay  on Woodys Whirlers (Staci) - yes #sarcasm,sarcasm
63281,I said it after the Cup Final and I'll say it again now. It's boring when it's this easy. #sarcasm,sarcasm
63282,6 hour van rides are so fun #sarcasm @CHayes1295 @Tori_Story04 @SunshineMeg8,sarcasm
63283,Another ridiculous idea from @BernieSanders: stop corporate subs instead of people subs. What a schmuck. #sarcasm  https://t.co/vRzIZpUQE9,sarcasm
63284,"1,143 words so far. Man, can you smell the smoke? #sarcasm",sarcasm
63285,.@nedboulting @carltonkirby Surely Quintana must be doping - he dropped everyone far too easily. #sarcasm #FedUpWithThisRubbish,sarcasm
63286,@St_Pratik could of been better then we could've lost #sarcasm,sarcasm
63287,I'm SO glad there's a book from Grey's perspective because Fifty Shades was almost TOO feminist. #doesitloseitssarcasmwheni #sarcasm,sarcasm
63288,@DRUDGE_REPORT at least the relationship is stronger than ever now that we have the nuclear deal. #sarcasm #sleepingwiththeenemy,sarcasm
63289,As a photographer you don't travel. You do #photography trips. #instyle #whatastyle #thuglife #sarcasm,sarcasm
63290,@evelynalpaca that must be so hard for her! #sarcasm,sarcasm
63291,"Well, there's only one solution. If seagulls are as dangerous as the media suggests it's time to send in the SAS #seagullhysteria #sarcasm",sarcasm
63292,I see the 2018 Russian World Cup won't be full of corruption #sarcasm  #WorldCup2018  https://t.co/cEnY5DZzGO,sarcasm
63293,@pankisseskafka They ran experiments on what shade of pink was the best for shoe shopping while making sandwiches? #amiriteguys #sarcasm,sarcasm
63294,@AlyssaNewtonUSA that was hilarious #Sarcasm,sarcasm
63295,@arroyojohn @arsenalamerica but he's awful. #afc can't win #epl with him. #sarcasm #coyg,sarcasm
63296,So relieved. Sepp Blatter has endorsed the Russian World Cup. All is well in her world #sarcasm #FIFA,sarcasm
63297,I see the U.S. is in another group of death. #sarcasm https://t.co/u3BaViVmqV,sarcasm
63298,#sarcasm Think how bad it would be if Obama/Kerry hadn’t made a deal http://t.co/FnXPsWZMkC #rednationrising #tcot #tlot #ccot #ycot #pjnet,sarcasm
63299,@TalkTalkCare No I'd like to just have problems constantly...YES of corse I wasn't someone to call me when they say they will #sarcasm,sarcasm
63300,I love getting 5 hours of sleep 👍🏻 #sarcasm #FucktheSandman,sarcasm
63301,In the US we are blessed with gerrymandering &amp; closed primaries.  #makeseatsmatchvotes #sarcasm,sarcasm
63302,So glad I left my child for this... #sarcasm #iknownoone #nointroductions,sarcasm
63303,That's a promising start #sarcasm,sarcasm
63304,#Sarcasm isn't one of my strongest suits. And I say that with great #sincerity,sarcasm
63305,"@DevolutionMan Apparently he's not allowed to be good at more than 1 thing because if he is, he's overrated. #sarcasm",sarcasm
63306,Four discussions and a paper to do today. I'm glad my professors are piling the homework on before I graduate. #sarcasm,sarcasm
63307,@bharat_builder that tweet sucked so bad #sarcasm,sarcasm
63308,@HFXGeek77 @MarkALavallee Absolutely love how you bring the llaaMMEE thing into your radio show also! #sarcasm,sarcasm
63309,Brooks is the best defender for the USA. @J_Klinsmann #USAvPAN #sarcasm,sarcasm
63310,It just rained and he suns out now so I really can't wait to see all the rainbows on snapchat and Instagram #sarcasm,sarcasm
63311,"It's a good thing the refs are favoring Panama, wouldn't want them to throw a tantrum. #sarcasm #USAvPAN #USMNT #goldcup2015",sarcasm
63312,"Man this aero package is great, just look at all the side-by-side racing and lead changes! #NASCAR #LillyDiabetes250 #sarcasm",sarcasm
63313,@HelperToni says armpit hair is not OK in new commercial I'm offended! #sarcastic 😁,sarcasm
63314,Yay for stringly-typed programming with Interface Builder! #sarcasm,sarcasm
63315,these #sarcasm coffee mugs are almost GONE! Get yours now! https://t.co/0843uomLks http://t.co/sUkQIUIbQu,sarcasm
63316,@people yeah...it's really hard to fix a spelling error when you only have 140 characters to work with. #sarcasm,sarcasm
63317,@JimmyPrinceton @reckfam   Who could have known or predicted there would be negative consequences to raising the minimum wage?! #sarcasm,sarcasm
63318,"Yep, definitely nothing for black people to fear. Thanks for making us feel safe, America's Police! #sarcasm #fuckyou http://t.co/ayBwoCi2Ke",sarcasm
63319,"I'd slap you, but that would be seen as animal abuse #sarcasm ᵔ.ᵔ you're welcome",sarcasm
63320,Can't wait for 2017 when we'll get the 2018 announcement date for No Man's Sky !    @hellogames #sarcasm,sarcasm
63321,Nice to have such positive people in my life. #sarcasm,sarcasm
63322,#Trump is making America great again by banning the press! #sarcasm  http://t.co/4SbBSYFPw3,sarcasm
63323,"@grantkirkhope You've just been blocked by #resolutiongate.  Please upgrade your body so that you are accepted as a ""normal"" person #sarcasm",sarcasm
63324,"That's what Mexican president #PenaNieto is well-known for: being ""too smart"" #sarcasm
https://t.co/fL7jPGba8o",sarcasm
63325,"Oh look, they come to #vidcon too. How thoughtful of them. #sarcasm http://t.co/63HCeL8fbc",sarcasm
63326,I feel that was offsides! #USAvPAN #Sarcasm #NoEraGol,sarcasm
63327,This guy&gt; #Kerry never stops amazing me with his #Brilliance !    #Sarcasm of course.  #PJNET @tcot  https://t.co/YqFhGUtOWD,sarcasm
63328,"LOL ""me &amp; Obama"" LOL but he's a ""journalist"" #Sarcasm @RBRNet9 @madbaldscotsman @deray @ShaunKing @JoePrich @bree_mars",sarcasm
63329,"Ah, good.  The assclowns will definitely find something on this, the 283479038147239847th attempt. #sarcasm #benghazi http://t.co/hePyaBRH0y",sarcasm
63330,"Family mart, you never fail to surprise me. May 1week supply na ako pamasahe! lol #sarcasm #465 https://t.co/iDQ1h4lI4F",sarcasm
63331,Thomas Oliver on the fly http://t.co/xZ8j8yCmdt via @youtube #sarcastic #comedy #music #video,sarcasm
63332,Me #Sarcastic Never http://t.co/nWFlmKdqHC @AddThis #martinspixs #zazzle #Like2,sarcasm
63333,I had every intention of buying Sanagan's meat to feed 11 people at a cottage. I mean fuck the budget let's be high class. #sarcasm,sarcasm
63334,@GaryHolford1 @TheEconomist They're already asking teachers to give up Saturdays... so why not? #sarcasm,sarcasm
63335,"@ucsumma You're such a dreamer. It'll never happen. 
#sarcasm",sarcasm
63336,Evan enjoying his seat being taken #sarcasm #ApartmentRenovations #carpet #Lowes #fiance… https://t.co/qoHmDK15zf,sarcasm
63337,#Russia? #Punishing someone who didn't deserve it? #Never #Sarcasm #HISTORY  https://t.co/JcR72VIiWd,sarcasm
63338,"I see English CBs like Jones, Smalling, and Cahill being capable of that level of technique..... #sarcasm https://t.co/neDBW2oKm5",sarcasm
63339,Cookouts are always fun! #Sarcastic,sarcasm
63340,Began boiling our water yesterday when we originally lost pressure. Thanks for the timely advisory #sarcasm  https://t.co/PzzC9evYUj,sarcasm
63341,With summer clothes on I'm enjoying the balmy 11degree weather on the deck . #nlwx ❄️ Share your #summer #sarcasm http://t.co/3g5TFD4kUx,sarcasm
63342,@dylanohernandez Gotta earn it. #sarcasm,sarcasm
63343,@BleacherNation Cubs should trade Castro to Rockies for Tulo. Im sure they'd go for it. #Sarcasm,sarcasm
63344,@TheCinderRollup A rapper spreading LOVE? wtf why would he do that? #Sarcasm,sarcasm
63345,"Turkey: ""We are fighting ISIS until we eliminate the last kurd on this planet""  #sarcasm",sarcasm
63346,@Trags I for one am utterly shocked! #sarcasm #sorelosers,sarcasm
63347,"Oooooh, I get it- @Adobe @InDesign crashing when you haven't saved in a while when you're under a deadline is a product feature #sarcasm",sarcasm
63348,"But I thought he was a ""hero""??  #sarcasm #tcot #teaparty  https://t.co/18SWiUwqmK",sarcasm
63349,@Opalinski33 this #Vikes season? I don't either but it's gonna happen. #tongueincheek #sarcasm,sarcasm
63350,Getting ready for a wedding while at work is quite fun. #sarcasm #Ineedastraightener,sarcasm
63351,"Shocking:Legal immigrants are opposed to Illegal ""immigration"" #Sarcasm",sarcasm
63352,Decent is misspelled. I thought you knew how to spell. Is #sarcasm against #UAE law? Blogging seems to be!  https://t.co/UJdAH8cOqq,sarcasm
63353,"Don't you just love public speaking?
#sarcasm https://t.co/ey1Oxfn8hl",sarcasm
63354,Look #USMNT is cheating! They brought there flag out first! How dare you. Time to file s strongly worded letter to #FIFA ! #Panama #sarcasm,sarcasm
63355,"Wow, what a joke. Special thanks to the lap car that parked his bus in Turn 3. #Sarcasm",sarcasm
63356,"Oh great, the wife just flicked onto channel 4. Awesome. #PitchPerfect #sarcasm",sarcasm
63357,Glad to see Goldy getting that day off that Hale said he was getting this week #Sarcasm #EvenStarsNeedDaysOff #PlayAaronHillMorePlease,sarcasm
63358,@ChrisLoesch @HeatherWhaley @BobbyJindal Kool aid caused  mass murder-Jim Jones.Do we have a Kool aid ban or even a law #NoPC #sarcasm,sarcasm
63359,"Wow, it is so cool outside! #Sarcasm I just ran 1.65 mi with Nike+. http://t.co/yJPx6l8lbQ #nikeplus",sarcasm
63360,I would like to thank Xfinity for not including Fox Sports 2 in the channel line-up in Jacksonville. #comcastic #sarcasm #CONCACAF,sarcasm
63361,I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm,sarcasm
63362,"Gee... maybe I should start doing this.

Sarcasm :3  #sarcasm http://t.co/6cDwHPSFtF",sarcasm
63363,@dustinlong he's really matured. #sarcasm,sarcasm
63364,"@Mortgagequeen09 me too,, def when @MBurkie19 is on fire! #sarcasm #funnyguy",sarcasm
63365,I really know how to pick the best landlords. #sarcasm 🔫😒,sarcasm
63366,I love when my parents ask me what happened to a girl I talked too 😂 #sarcasm,sarcasm
63367,@KyleAnderson5 even after a year you're not used to the south Texas heat? #NoOneIsUsedToThis #sarcasm lol,sarcasm
63368,@AdamRubinESPN wow. What a leader. TC is the best. #sarcasm,sarcasm
63369,@SNETCampbell there’s no way that’s his dad. Zero family resemblance #sarcasm :),sarcasm
63370,@DaltonSargeant @MattWeaverSBN nah...cant be? Never rains in Mobile  during the Gulf Coast double.  #sarcasm,sarcasm
63371,"Happy Saturday, kiddos. #funny #saturday #poohbear #winniethepooh #bear #cartoon #comic #sarcastic… https://t.co/FH3Bg3JHf8",sarcasm
63372,@kellyw436 seriousness = happiness #sarcasm #lifetipnumber1 #lifewithmeg #smegma #rollover,sarcasm
63373,@lizbloomfield2 and its not even following me #disrespect #outrage #sarcasm #horrifying #thisissarcasm,sarcasm
63374,"@BabaGhan0ush @fchampryan yo but... "" it's only a beta...chill"" #sarcasm #stupidapologistpeople",sarcasm
63375,Nice start by the #Indians #sarcasm,sarcasm
63376,I'm so glad the first 2 batters swung on the first pitch. #sarcasm,sarcasm
63377,@PapaJohns hey nice job identifying your online specials as online only! #sarcasm I'm ordering somewhere else.,sarcasm
63378,When dayshift tells you he will just do a few checks today so I will have stuff to do tonight...Great cause i hate easy nights #sarcasm,sarcasm
63379,"If God didn't want me to binge watch #AgentsofSHIELD , xe wouldn't have put it on #Netflix #dontjudgeme #coulsonlives #MCU #sarcasm 😜",sarcasm
63380,Why don't they move that race to a different time of year when there's less wind. #sarcasm https://t.co/lO6Ks0Lstf,sarcasm
